user_id,rec1,rec2,rec3,rec4,rec5
163,1449,1467,1367,1642,408
164,22,313,96,318,272
165,1449,318,1189,1398,1467
166,1467,1449,272,22,96
167,1449,251,318,205,963
168,22,408,1449,318,1167
169,1449,408,1467,318,1189
170,1449,1642,318,408,657
171,1449,1467,408,1367,318
172,1449,408,1639,169,22
173,134,127,963,483,603
174,313,318,1449,64,316
175,318,1449,178,313,1189
176,1642,1449,1367,851,1398
177,1449,1367,1467,408,603
178,1189,1467,1449,272,496
179,1449,1467,272,64,178
180,1449,408,169,1642,1193
181,313,272,22,538,64
182,1449,318,1642,313,1189
183,1449,607,1642,1189,718
184,1449,1642,1367,251,1639
185,1449,1467,1642,251,1398
186,313,318,496,692,174
187,1449,318,1467,408,515
188,1449,1189,64,1467,313
189,1449,408,1367,1642,1467
190,1467,64,174,50,22
191,1449,318,1367,1467,1398
192,1467,318,1189,313,1449
193,1449,318,178,496,483
194,1449,1467,408,1367,1189
195,1449,178,1467,318,1642
196,1449,64,318,1189,1467
197,496,178,1449,318,1189
198,1449,1467,408,1189,178
199,1367,1449,197,285,1639
200,1449,1189,1398,50,1642
201,1367,1642,1449,851,1467
202,50,174,313,172,1467
203,1449,1642,96,1398,1189
204,1449,1639,1367,285,408
205,1449,1467,318,22,50
206,1467,127,521,48,150
207,1449,1467,1189,496,178
208,496,1189,22,318,64
209,851,1642,1449,1639,1398
210,1449,1467,408,178,318
211,1449,1642,1639,318,1189
212,1398,1467,408,1500,1639
213,1449,1367,1642,1467,1398
214,1449,1642,1367,1467,851
215,1449,1467,1500,657,408
216,1449,1467,64,127,1367
217,1449,378,12,318,1642
218,1449,1367,408,1467,1642
219,1367,408,169,1449,60
220,318,313,1467,1449,64
221,1467,1449,1367,127,1642
222,313,1449,272,1467,1189
223,174,22,966,79,265
224,692,496,966,174,143
225,1449,1467,1367,1642,127
226,1467,1449,313,318,169
227,1449,285,408,1642,1398
228,318,272,64,22,735
229,1449,1467,1642,59,1398
230,318,1449,313,316,936
231,1449,318,272,64,1467
232,408,1449,1367,1642,1398
233,1449,1642,963,1189,1467
234,483,408,251,1467,1189
235,1449,1367,408,178,127
236,313,1639,1449,963,316
237,1449,1367,1467,1398,1189
238,1449,1367,1467,1642,272
239,851,1449,1367,1642,285
240,408,1449,1467,64,318
241,1142,1449,318,313,511
242,318,251,1449,1467,483
243,1449,1642,408,1367,251
244,1449,1367,1642,1398,408
245,1467,1449,318,64,408
246,1467,1367,1449,408,127
247,1449,1467,408,1642,318
248,1467,1449,1367,56,42
249,1449,1367,1467,1642,1398
250,1449,1642,251,1398,318
251,1467,1449,318,178,1367
252,134,127,963,483,603
253,496,1449,313,174,178
254,318,692,96,1189,966
255,1467,127,1642,1449,1367
256,1449,1467,318,1169,313
257,1449,1642,1639,251,1467
258,169,1449,408,313,1019
259,1449,1367,1642,1467,1398
260,1449,1467,1064,1500,1367
261,313,1449,1467,318,272
262,1449,1642,318,251,408
263,1449,251,1189,178,657
264,1449,1367,1467,1500,408
265,117,313,272,64,79
266,1367,1449,318,515,1467
267,1449,1367,1467,1642,1189
268,1449,1367,1467,408,1642
269,851,60,1367,656,1558
270,963,190,483,272,318
271,1449,483,1189,178,64
272,1449,1467,1367,408,603
273,1449,1642,1367,1467,408
274,127,963,483,603,313
275,1467,313,1449,318,64
276,1449,1467,1367,178,1642
277,1449,318,1367,1642,1467
278,1449,318,1467,483,64
279,1449,1467,430,1367,921
280,1449,1642,1467,1367,1169
281,1019,1449,1467,1643,344
282,1467,1449,1642,318,408
283,483,318,408,657,1449
284,1449,1642,1367,1467,408
285,1467,1642,272,1449,313
286,1449,1467,318,1169,1642
287,127,318,408,1449,1467
288,313,318,1367,1467,1449
289,313,174,1467,96,22
290,313,96,1189,966,172
291,318,1449,1367,1642,1467
292,1449,1467,1367,318,178
293,1449,1367,408,178,1467
294,1449,1467,1398,318,64
295,963,408,169,251,657
296,1449,1398,318,178,1642
297,1449,318,1467,1642,408
298,1449,64,1189,313,496
299,1449,1467,1367,657,1398
300,1449,251,1642,318,1467
301,1467,1500,313,1449,1189
302,1449,272,1189,318,64
303,1449,1467,1367,178,1642
304,1449,1467,1189,318,1642
305,1449,1639,1367,647,1467
306,1449,1642,923,1467,1639
307,1449,1467,1367,1500,1398
308,1449,1367,1467,1398,1642
309,313,1189,1467,318,96
310,1449,19,1467,694,1398
311,1449,313,1189,1467,169
312,1449,1639,1642,1367,408
313,1449,1467,1500,408,1367
314,313,79,316,174,272
315,1367,1449,408,1642,1467
316,1639,131,251,428,65
317,318,1449,1467,251,64
318,1449,963,1189,313,178
319,1449,96,22,174,272
320,1467,1449,64,1189,318
321,1449,178,318,408,1639
322,1449,1367,1467,178,483
323,1449,1467,318,127,12
324,127,963,79,483,603
325,1449,851,1639,513,1367
326,1449,408,1500,50,313
327,1449,1367,1642,1467,1398
328,1449,313,1189,963,178
329,1449,408,318,1367,483
330,272,313,178,1449,1642
331,1642,1367,1449,1467,318
332,96,1449,1467,272,318
333,1449,318,1467,408,657
334,1449,1367,1467,1642,1398
335,1642,1449,1643,1467,1367
336,1467,1449,64,156,127
337,313,22,174,318,1189
338,1449,1367,851,488,60
339,1449,1367,408,1467,1642
340,272,22,313,318,64
341,127,963,318,178,515
342,1449,1367,1639,1467,851
343,114,285,1449,1367,1642
344,1449,1367,1467,1642,178
345,1449,1367,1467,408,1642
346,1449,313,318,1189,199
347,64,272,313,1449,1467
348,1467,96,1449,22,272
349,1449,1642,1367,1398,851
350,1449,318,1367,1642,178
351,963,79,483,603,28
352,1449,1642,1467,127,1367
353,1449,408,64,318,1467
354,1449,1639,408,1367,1642
355,318,1467,1449,64,313
356,1467,1449,64,408,1189
357,963,79,483,603,28
358,1639,1449,1558,1367,851
359,1449,318,64,1467,1189
360,1449,1367,1639,318,408
361,1449,1639,488,483,851
362,1449,318,1467,272,178
363,1467,1449,114,113,1367
364,318,64,1449,1467,22
365,1449,1642,1367,1398,1467
366,134,475,127,963,190
367,12,408,657,119,1449
368,1449,1467,408,169,64
369,1449,1367,1467,1642,1398
370,1449,178,1467,483,408
371,313,318,174,496,1189
372,127,963,483,603,272
373,1449,1467,408,657,169
374,313,1189,1449,496,144
375,1449,1467,1189,50,313
376,1449,1467,408,1642,318
377,1449,1467,318,1189,178
378,1449,1467,1642,178,963
379,1449,318,483,1467,1367
380,408,1642,251,483,285
381,1449,1367,483,408,474
382,1367,1449,320,1467,1642
383,1449,1367,127,1642,480
384,1449,1367,1189,408,1467
385,656,1203,856,1558,611
386,1449,1642,318,251,1467
387,1367,1449,1467,171,1524
388,22,174,96,210,1189
389,1449,1367,851,1642,408
390,1449,318,408,313,1467
391,1449,1367,1467,127,178
392,1449,483,318,408,963
393,1467,1189,1449,64,966
394,1449,1467,318,408,1189
395,1449,408,1189,496,483
396,22,313,96,174,64
397,1449,408,1367,1467,1142
398,313,318,1449,1189,22
399,1449,1467,1189,83,1642
400,1449,318,1467,1189,313
401,318,313,213,496,170
402,313,1449,963,1398,1189
403,313,1449,1467,408,22
404,313,255,96,692,966
405,144,496,237,1450,837
406,1449,1642,1367,1019,1467
407,1449,1467,318,1367,178
408,1449,1367,408,1467,1642
409,408,1367,513,488,694
410,1467,408,318,1449,178
411,1449,318,408,1467,178
412,1449,1467,1642,313,963
413,1449,1398,483,408,213
414,134,475,127,963,483
415,318,1449,1467,64,178
416,1449,1467,178,963,408
417,318,1449,1467,1189,272
418,1467,1449,169,64,150
419,1449,408,1467,1367,178
420,1449,408,318,483,1398
421,1449,64,1467,1019,313
422,1449,1467,1367,318,56
423,1449,1367,1642,1639,285
424,57,1642,1449,318,421
425,1367,1449,1467,1398,1642
426,1449,1367,408,178,603
427,127,963,79,483,603
428,1449,1467,316,318,408
429,1449,1467,1367,408,178
430,1449,1367,178,408,1467
431,313,318,1467,22,1449
432,64,318,1467,1449,272
433,408,1449,1367,1467,169
434,538,117,282,300,96
435,1467,1449,1367,408,114
436,1449,1467,272,64,318
437,1449,408,178,251,1367
438,313,22,96,174,966
439,1467,1449,1367,1642,1639
440,190,483,603,12,114
441,1449,408,174,169,1367
442,1467,1449,1367,127,1189
443,1449,1467,318,83,1642
444,1449,1467,178,1500,172
445,1449,192,1467,187,357
446,318,1500,1642,174,313
447,1449,1467,408,50,127
448,1449,1203,59,1500,93
449,1449,1367,408,285,851
450,1449,318,1467,1189,408
451,1019,313,96,1467,22
452,1449,1189,313,408,272
453,1467,1449,64,1367,127
454,1449,1189,272,966,1467
455,1449,313,408,1467,1189
456,1449,1367,1467,408,1642
457,1449,1189,408,1467,178
458,1449,1367,851,657,1467
459,1449,96,1019,318,1189
460,1449,1642,251,1639,318
461,1449,408,647,169,641
462,313,316,318,64,1467
463,408,1639,1449,169,1642
464,1449,1642,408,657,318
465,1449,1639,1467,1367,251
466,1642,318,1467,1449,1367
467,1449,1367,1467,851,127
468,1449,1467,483,1189,1367
469,318,1449,408,1639,1642
470,1449,1467,1367,1398,127
471,1269,477,22,613,96
472,963,272,316,50,114
473,1449,1467,1367,64,318
474,1449,1467,408,1367,1189
475,1642,1449,10,902,1643
476,1467,1367,1449,408,64
477,963,79,483,603,28
478,318,1467,1449,1642,197
479,1449,1467,178,313,1367
480,1449,408,251,657,318
481,1449,408,1189,169,114
482,1449,318,1467,313,1642
483,408,172,1500,169,718
484,1449,496,64,178,1189
485,1449,1642,1467,488,127
486,1449,1639,1467,1398,1367
487,1449,169,1467,1189,408
488,313,1449,1189,169,966
489,1449,1642,690,318,1062
490,1367,408,1467,1500,114
491,1449,169,1467,113,12
492,1449,1367,1467,408,1642
493,1467,1449,64,408,313
494,318,1449,64,313,963
495,1449,1467,1367,313,272
496,475,1467,156,1639,1449
497,1467,1449,64,1367,272
498,1449,1367,851,60,1467
499,318,1449,1467,316,408
500,1449,1367,1642,1467,408
501,1449,1467,1367,1398,1500
502,1467,1449,1642,1367,408
503,1449,178,1639,1642,483
504,1449,1467,1642,64,272
505,318,966,143,28,936
506,1449,313,1189,22,318
507,82,1,963,71,222
508,1449,1467,1367,408,1639
509,1467,1449,1398,156,1642
510,313,22,1449,318,1467
511,318,1449,1642,1467,1639
512,64,1449,1467,1189,1398
513,483,22,313,50,174
514,1467,1449,1398,1189,1642
515,1449,1467,1642,520,1367
516,1449,1639,408,1642,1367
517,1449,318,1467,178,251
518,1449,64,318,126,22
519,134,127,963,79,483
520,318,496,64,1449,22
521,1467,1449,1367,1398,1189
522,408,1449,1367,1467,851
523,963,318,251,1449,1642
524,1449,1639,1642,1367,1398
525,1449,1467,318,1642,313
526,1449,408,1639,251,1398
527,1449,1367,408,1467,1642
528,1449,1467,64,318,172
529,318,1449,1642,1467,313
530,1449,1642,251,1639,318
531,1449,318,483,1639,408
532,174,64,1449,1467,1189
533,1449,1189,692,178,963
534,1019,1467,1500,169,96
535,1449,1467,1189,1398,1642
536,1449,657,1189,178,64
537,1449,1367,251,408,1639
538,1449,64,313,1189,357
539,1449,408,1639,1467,694
540,1449,1467,1367,1642,408
541,1449,318,496,178,657
542,1449,1367,1467,408,1642
543,1449,1467,1642,1367,408
544,408,1449,318,483,1467
545,1467,1449,50,408,64
546,96,1449,195,1500,1467
547,1449,318,1189,1467,408
548,96,1019,174,195,172
549,1449,318,1467,64,408
550,1449,1467,313,408,1642
551,1449,1642,1467,1607,59
552,1449,318,1467,64,1642
553,1449,1367,408,1642,318
554,313,22,1449,1467,96
555,1449,1467,1642,1398,318
556,1449,1367,127,1398,357
557,1449,1639,318,64,963
558,1449,1367,318,1467,1642
559,1449,318,1467,64,1189
560,1449,1467,1367,408,127
561,1367,408,851,60,1467
562,318,1449,64,178,1642
563,1449,318,313,1467,64
564,1449,1500,1467,408,169
565,408,1449,1367,1642,1467
566,1449,1367,851,1642,923
567,1449,1367,851,488,1524
568,488,694,1449,511,1463
569,1449,408,318,251,1467
570,1367,1449,1467,1642,1398
571,1449,1467,408,50,1189
572,1449,1642,318,1367,1467
573,1449,1367,1467,483,851
574,1449,1467,318,178,1642
575,1449,1467,12,50,1367
576,1449,408,1467,318,64
577,1449,1189,1467,22,1169
578,117,22,1019,966,313
579,318,1449,64,313,1189
580,1467,1449,96,64,169
581,1367,1449,1467,408,119
582,1449,127,408,1367,1467
583,1449,1367,1642,1467,1398
584,1449,1467,408,1189,1642
585,1639,1642,488,318,242
586,1642,1449,1467,1189,313
587,1642,1449,1467,318,1367
588,1449,64,1189,251,1169
589,22,1278,1467,272,174
590,1449,1367,408,1639,923
591,1449,1642,1467,318,251
592,1449,1367,1467,1398,515
593,64,1189,22,1449,963
594,1449,1367,408,1642,1467
595,1449,1467,127,1367,56
596,1449,1467,1189,318,1642
597,1449,1467,1642,408,318
598,318,408,1449,1642,1467
599,272,22,313,318,117
600,1449,1367,1642,1467,185
601,408,114,1449,647,474
602,1449,313,1189,1642,318
603,408,1449,169,1642,496
604,1467,1449,313,1189,318
605,1449,1367,1467,178,197
606,318,1449,1189,272,1467
607,1449,1367,488,285,654
608,1642,1449,1467,427,1398
609,318,22,272,408,496
610,1449,496,64,178,316
611,1449,1642,318,1467,1367
612,318,1449,272,1642,64
613,1449,1467,408,1367,169
614,1467,1449,1642,1367,1019
615,1449,483,408,603,657
616,1449,318,1467,963,1642
617,1449,661,185,1367,1131
618,1449,1189,178,480,357
619,1449,1189,1,172,210
620,143,966,1467,538,1169
621,1467,1449,1367,64,169
622,1467,1449,1367,114,318
623,318,1449,1189,251,64
624,1449,1467,1367,318,408
625,1449,1467,1367,1398,1189
626,1639,1449,318,1367,285
627,1449,1367,408,1467,169
628,79,272,22,313,316
629,318,1449,64,1189,178
630,313,538,298,1449,1642
631,1449,318,1642,1467,272
632,1189,496,1449,178,313
633,313,174,22,1449,1467
634,1449,1467,64,272,318
635,1467,1449,313,1189,272
636,963,483,603,272,22
637,318,316,64,496,313
638,96,174,1467,313,22
639,1449,318,251,474,657
640,127,963,483,603,12
641,1449,1367,1642,851,285
642,1189,1467,1,1169,1167
643,1449,1467,1367,1642,1398
644,1449,96,1643,117,1169
645,1449,1367,851,408,127
646,1449,1467,318,1639,64
647,1449,318,313,1189,1467
648,313,22,408,1500,966
649,313,272,1449,1467,318
650,1449,408,1467,169,178
651,1449,1467,1367,1642,1398
652,1449,408,313,963,1467
653,408,1449,169,1019,1467
654,1449,657,96,64,1467
655,1449,1367,488,1467,1398
656,1367,1449,1642,488,1558
657,1449,64,1467,318,136
658,1449,1367,1467,1642,603
659,1449,1367,1467,1642,1398
660,408,1449,169,1467,1367
661,1449,1189,408,1467,483
662,1449,1367,1642,1398,1467
663,1449,318,1467,1642,1367
664,1449,1367,127,178,647
665,1449,1467,318,64,1642
666,1449,1367,408,1467,851
667,1449,1367,1642,318,1467
668,1449,313,64,272,1467
669,1449,1367,178,134,124
670,313,1449,318,174,1189
671,313,1467,50,1189,966
672,1449,1642,1467,1639,1398
673,318,1642,496,1449,313
674,1449,313,272,1642,64
675,1449,1467,1642,1398,1367
676,1449,496,408,174,1189
677,1019,156,1642,1367,1449
678,1449,1367,1019,1467,408
679,1449,1467,515,251,156
680,1449,1367,1467,408,1642
681,318,496,22,1449,12
682,1189,1467,1449,1398,313
683,1449,483,318,657,178
684,1449,408,318,316,169
685,1189,1398,1367,718,1500
686,483,480,408,169,285
687,1449,1642,1467,318,313
688,100,710,134,161,82
689,313,22,316,96,174
690,318,313,1189,1642,1449
691,318,1449,483,963,1642
692,318,1467,1449,272,64
693,1642,1449,1467,272,64
694,1449,1189,64,1467,963
695,1449,488,474,1367,1642
696,1449,408,1367,1642,515
697,178,408,169,1449,1367
698,318,174,143,22,1449
699,1642,1449,1398,1367,1467
700,313,1449,1642,1467,64
701,1449,318,1467,313,408
702,174,50,172,96,181
703,318,64,1189,313,22
704,1449,127,357,474,178
705,313,1016,1220,692,966
706,313,966,22,210,692
707,1449,1639,306,1398,213
708,22,318,64,272,174
709,313,1467,272,1449,1189
710,1449,1367,851,488,285
711,1449,1639,1642,251,213
712,313,720,966,22,692
713,1449,1367,1467,318,1642
714,96,22,1019,313,174
715,1467,1449,313,272,178
716,1449,251,963,285,1398
717,272,318,1449,1467,1642
718,313,692,966,22,318
719,318,1449,496,963,22
720,1449,1367,408,1467,1639
721,313,96,1467,1500,1189
722,313,1449,318,64,22
723,1449,22,1467,318,313
724,64,96,144,22,173
725,1449,251,318,1642,1189
726,1449,1467,1367,127,408
727,1449,1467,313,1189,318
728,1449,1467,1367,1642,178
729,22,174,50,181,96
730,408,1367,1449,1467,169
731,318,496,313,316,178
732,318,22,1449,313,1467
733,1449,285,251,408,60
734,1449,1189,1642,251,963
735,1449,1467,1367,408,251
736,1367,1449,851,276,488
737,1449,1367,408,1467,1642
738,408,1449,1467,1189,114
739,313,174,966,385,496
740,1449,408,1467,1642,1367
741,1449,318,1467,1367,1189
742,1449,1639,408,1367,1467
743,1449,1367,1467,318,963
744,1449,1367,408,1642,1467
745,1449,1467,408,64,318
746,313,318,174,50,64
747,603,1449,1367,1642,474
748,1449,1467,1367,313,1642
749,1449,318,313,1189,1467
750,1449,1642,1467,1398,1367
751,1449,318,1189,251,64
752,1642,1449,1019,1062,1467
753,1449,318,496,251,178
754,1449,1467,408,1642,1398
755,313,408,169,126,1449
756,1449,318,1467,408,1367
757,1449,1467,1367,1189,408
758,114,408,169,1449,1500
759,1449,313,22,272,318
760,313,22,251,318,736
761,22,96,385,174,210
762,1449,1467,56,475,320
763,1449,1467,1367,408,1398
764,313,22,1449,966,1189
765,1449,285,851,197,1398
766,1449,1467,408,1367,1189
767,408,1449,1367,1467,1398
768,318,1449,64,178,496
769,1449,1642,408,1467,1367
770,963,318,515,408,1194
771,143,1084,316,8,1449
772,272,22,12,313,50
773,1449,1467,647,851,1524
774,1449,1367,641,1142,1467
775,318,1449,1642,515,1467
776,1449,408,1467,1367,169
777,169,1449,408,1467,1642
778,1467,320,1449,182,156
779,1449,96,169,1467,313
780,1189,496,64,22,172
781,1449,1367,408,127,647
782,1449,318,1642,64,1467
783,1367,1449,1642,1467,1398
784,1449,1467,318,408,64
785,313,1467,1449,272,50
786,318,1449,313,1189,64
787,318,1449,1189,1642,496
788,1449,313,1189,178,408
789,1449,1367,1467,1500,1642
790,1467,1449,64,1367,12
791,1449,1642,318,1367,1467
792,1189,1449,408,50,169
793,1467,1449,318,1367,1189
794,1449,408,1367,1467,169
795,1449,408,1467,1367,114
796,966,1189,1449,1467,169
797,1449,1467,408,169,1642
798,83,96,22,318,1189
799,1449,1467,318,64,408
800,1449,1642,1467,408,318
801,100,134,1,127,963
802,96,1467,50,174,313
803,408,285,1449,1367,1642
804,1449,1467,408,169,313
805,1367,1449,408,1500,1467
806,1449,657,1189,178,1467
807,1449,966,1189,50,28
808,127,963,483,603,272
809,1449,1367,1642,408,1467
810,134,181,1,127,963
811,963,79,483,603,272
812,313,1467,22,1449,174
813,313,1642,1467,96,272
814,1449,1467,1642,318,1367
815,318,64,22,272,1189
816,1467,1449,318,64,22
817,1467,1449,318,64,313
818,1449,1467,1189,251,1642
819,1367,1449,408,127,1642
820,1449,1467,408,515,113
821,963,313,318,178,496
822,1449,169,1367,1642,114
823,1449,1467,1367,1189,178
824,1449,1642,1467,659,657
825,96,1019,169,22,1500
826,1449,1467,1019,50,1642
827,313,1449,1467,50,1189
828,1449,56,1642,10,1367
829,1449,1467,1367,1642,1398
830,318,1449,408,178,483
831,174,318,1449,1189,178
832,318,1189,272,1642,22
833,1367,1449,851,1524,1642
834,64,1467,1449,318,178
835,1449,1642,1398,1189,178
836,1449,1367,1467,114,127
837,408,1449,251,178,1639
838,1449,1467,1189,1398,178
839,1449,1642,1467,64,272
840,1449,1467,318,1639,408
841,272,313,318,64,408
842,1467,1065,1500,1398,1449
843,1019,1449,1467,1500,169
844,1467,1449,408,169,1642
845,1189,318,496,966,133
846,1449,1467,1642,1367,318
847,313,408,1449,318,718
848,1449,408,114,1189,169
849,963,483,272,22,12
850,313,50,1449,1189,64
851,1449,1189,1467,1500,1367
852,1449,1467,1500,1189,114
853,1467,1449,1642,79,318
854,1449,1367,1467,1642,408
855,1449,1467,408,1367,1189
856,1367,1449,408,1467,169
857,1449,1639,318,1642,483
858,1449,1367,1642,59,1467
859,318,1449,1642,1189,64
860,1449,408,1367,1398,483
861,318,313,1449,1084,143
862,318,408,1019,1449,1367
863,64,318,515,272,1449
864,1449,1467,313,1642,1189
865,1367,171,652,114,647
866,1449,1558,60,1367,851
867,408,169,1449,1367,1467
868,1367,171,1449,1467,851
869,1367,851,475,1467,1143
870,1449,1367,1467,408,1642
871,1467,1500,96,1449,169
872,96,385,22,692,174
873,22,318,64,272,1467
874,1449,1467,318,408,64
875,1449,1367,1467,1642,408
876,1449,1467,318,408,64
877,1449,318,64,963,1189
878,1449,483,178,251,1189
879,318,313,1449,1189,64
880,1449,1467,1367,1642,178
881,1449,318,1189,313,408
882,1449,318,313,22,178
883,1449,1367,1467,169,1500
884,1449,1639,1367,488,1642
885,313,64,1449,22,272
886,1142,50,1449,313,603
887,1600,1467,298,1065,113
888,127,963,483,603,272
889,1467,1449,1189,1367,1398
890,1449,1367,408,178,851
891,318,64,251,1449,1642
892,1449,1367,1467,408,1189
893,1449,1467,318,408,313
894,1449,1642,1367,1639,1467
895,1449,1467,318,313,64
896,1449,1467,1189,178,408
897,313,1449,1642,1467,1189
898,1449,1467,1642,1500,1607
899,1449,313,408,1642,1467
900,1449,1367,515,64,511
901,496,22,966,313,692
902,1449,483,657,408,178
903,1449,1367,1467,127,178
904,1449,22,272,313,1467
905,1449,1467,1367,408,1398
906,1449,1642,1367,1398,1467
907,963,28,22,316,174
908,1449,1642,178,1467,1398
909,483,603,318,178,408
910,1449,1367,1467,178,1642
911,1449,408,114,251,657
912,1449,496,657,178,427
913,1467,1449,178,483,1642
914,1449,408,1467,1367,475
915,1449,1467,1367,408,963
916,1449,1367,1467,408,1642
917,1449,1467,178,1639,483
918,251,1449,408,285,114
919,1642,1449,318,1398,1467
920,1449,1642,1467,1367,1500
921,313,22,966,1189,385
922,408,1449,318,1467,1500
923,127,963,603,272,313
924,1449,1467,1642,1189,251
925,1449,1467,1642,316,313
926,318,1449,1467,313,64
927,313,174,22,117,181
928,963,483,603,709,50
929,1449,127,1367,178,1467
930,1449,1639,318,707,923
931,1449,318,64,178,963
932,1367,408,851,483,1639
933,1449,127,64,408,1367
934,408,1367,1189,1500,169
935,22,272,318,96,64
936,408,1449,1367,1642,1467
937,1449,169,1367,1467,318
938,1449,96,174,22,1269
939,1,963,71,186,190
940,1449,318,64,178,1467
941,1449,1467,1367,657,178
942,318,1449,1189,64,483
943,1467,272,313,156,318
